Aircraft,Tail#,Flight Leg No,ATA Main,ATA Sub,ATA,ATA Description,LRU,DateAndTime,MDC Message,Status,Flight Phase,Type,Intermittent,Equation ID,Source,Diagnostic Data,Data Used to Determine Msg,ID,Flight#
AC15187,187PQ,20430,23,11,23-Nov,VHF Communication System,VHF 1,11/30/2020 16:42,NO L-RTU-2 BUS INPUT,FAILED/WIRING,AIR,Fault,0,B1-008269,AC151877.FMH,350 VHF 1 009901,"350 VHF 1 009901
350 RTU 1 61F001
350 ADF 1 600001
350 TDR 1 600001
350 DME 1 600001",40286708762d33df01762e59467b1a67,3881
AC10223,760SK,27167,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 16:42,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC10223P.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",40286708765666c5017656cd9ef90423,3052
AC10243,770SK,,30,0,30-00,ICE & RAIN PROTECTION,L COWL A/ICE SOV,11/30/2020 16:42,SOV SW POSITION MISMATCH,FAILED/WIRING,,Fault,,B1-039268,AC10243N.CFM,,,4028670876189a4701761a0f6b4d226b,
AC10329,631SK,16643,30,0,30-00,ICE & RAIN PROTECTION,L COWL A/ICE SOV,11/30/2020 16:42,SOV SW POSITION MISMATCH,FAILED/WIRING,GROUND,Fault,0,B1-039268,AC103297.FMH,,"250 AIRCRAFT DISCR L 180001
256 AIRCRAFT DSCR2 L 000000
250 AIRCRAFT DISCR R 180002
256 AIRCRAFT DSCR2 R 000000",40286708761dc0a501761ea749bd0f71,3254
AC15187,187PQ,20430,21,61,21-61,TEMPERATURE CONTROL,ACSC 2,11/30/2020 16:42,R FADEC P6 OUT OF RANGE,LRU OK/INFO,AIR,Fault,0,B1-005833,AC151877.FMH,"270A ACSC 2 000002
270B ACSC 2 000003
271A ACSC 2 000002
271B ACSC 2 000103
350A ACSC 2 100002
350B ACSC 2 100003
351A ACSC 2 010002
351B ACSC 2 010003
352A ACSC 2 000002
352B ACSC 2 000003","351A ACSC 2 010002
351B ACSC 2 010003",40286708762d33df01762e59467b1a68,3881
AC15187,187PQ,20430,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 16:42,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-006902,AC151878.SMH,,"350A ACSC 2 100002
350B ACSC 2 100003",40286708762d33df01762e59518c1b27,3881
AC10136,702SK,27076,27,60,27-60,SPOILERS,SSCU 1,11/30/2020 16:41,RAD ALT RANGE FAULT,FAILED,TAXI,Fault,0,B1-008016,AC10136Q.FMH,"350A SSCU 1 000000
350B SSCU 1 000001
351A SSCU 1 000000
351B SSCU 1 000001
352A SSCU 1 000000
352B SSCU 1 000001
353A SSCU 1 000000
353B SSCU 1 000001
354A SSCU 1 000000
354B SSCU 1 000001","355A SSCU 1 EXT 004000
355B SSCU 1 EXT 004001",40286708765b8d1801765fe7a1f85fa3,3269
AC10215,754SK,26542,21,31,21-31,Cabin Pressure Control System,GROUND VLV RLY,11/30/2020 16:41,NO RESPONSE TO CMD,FAILED/WIRING,TAXI,Service,0,B1-006897,AC102153.SMH,,350 CPC PNL 010003,402867087641cd3d01764207068b0556,2996
AC10215,754SK,26542,78,31,78-31,THRUST REVERSERS,R TR GND RLY B,11/30/2020 16:41,RELAY OPEN OR ICV CLOSED,FAILED/WIRING,TAXI,Fault,0,B1-008222,AC102154.FMH,,"255 AIRCRAFT DISCR L 015681
245 AIRCRAFT DISCR L 1D4101
273 AIRCRAFT DISCR L 008501
272A R FADEC 009E5D
272B R FADEC 009E5C",402867087641cd3d017642078ac80690,2996
AC10202,746SK,4666,45,45,45-45,MAINT DIAGNOSTIC,MDC,11/30/2020 16:40,MDC SW CYCLE SLIP,LRU OK/INFO,AIR,Service,0,B1-212643,AC10202L.SMH,"350 MDC 000209
352 MDC 000005",352 MDC 000005,402867087684bffb017685de610c21dd,3197
AC10202,746SK,4666,31,30,31-30,CREW FORCE MEAS SYS,CTRL FORCE SNSR,11/30/2020 16:40,NO BUS OUTPUT TO DCU,OFF/NO OUTPUT,AIR,Service,0,B1-344932,AC10202L.SMH,350 CTRL FORCE SNSR ------,"352 DCU 1 000901
352 DCU 2 000902",402867087684bffb017685de610c21de,3197
AC10202,746SK,4666,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 16:40,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007061,AC10202L.SMH,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",402867087684bffb017685de610c21df,3197
AC10202,746SK,4666,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 16:40,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007026,AC10202L.SMH,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 626E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",402867087684bffb017685de610c21e0,3197
AC10202,746SK,4666,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 16:40,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC10202L.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600163",402867087684bffb017685de610c21e1,3197
AC10202,746SK,4666,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 16:40,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC10202L.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600163",402867087684bffb017685de610c21e2,3197
AC10158,748EV,27619,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 16:40,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-006987,AC101583.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",4028670876280d68017628f16a350d2d,2983
AC10202,746SK,4666,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 16:40,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-007306,AC10202L.SMH,,"350A ACSC 1 100000
350B ACSC 1 100001",402867087684bffb017685de610c21e3,3197
AC10158,748EV,27619,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 16:40,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-006952,AC101583.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 628E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600163",4028670876280d68017628f16a350d2e,2983
AC10202,746SK,4666,21,61,21-61,TEMPERATURE CONTROL,AFT VENT T SNSR,11/30/2020 16:40,CH A&B FAULT,FAILED/WIRING,AIR,Service,0,B1-005917,AC10202L.SMH,,"351A ACSC 2 002002
351B ACSC 2 002003",402867087684bffb017685de610c21e4,3197
AC10185,755EV,24259,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 16:39,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC10185Y.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600163",40286708762d33df01762da40c340629,3288
AC10241,776SK,26305,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 16:39,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC10241K.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 000000
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600163",40286708763ca6e201763dc5402916ed,3014
AC10185,755EV,24259,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 16:39,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC10185Y.SMH,"350 IAPS IOC 1B 000203
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 000203
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600163",40286708762d33df01762da40c34062a,3288
AC10241,776SK,26305,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,11/30/2020 16:39,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC10241K.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 626E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 000000
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600163",40286708763ca6e201763dc5402916ee,3014
AC10241,776SK,26305,27,50,27-50,FLAPS AND SLATS,SFECU 2,11/30/2020 16:38,NO RB-IOC-6 BUS INPUT,LRU OK/INFO,AIR,Service,0,B1-007820,AC10241K.SMH,"271F SFECU 2 020003
271S SFECU 2 020182
353F SFECU 2 000003
353S SFECU 2 008002
354F SFECU 2 000003
354S SFECU 2 000002
355F SFECU 2 000003
355S SFECU 2 000002","353S SFECU 2 008002
350 IAPS IOC 2B 600000",40286708763ca6e201763dc5402916ef,3014
AC10241,776SK,26305,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 16:38,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007061,AC10241K.SMH,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 000000
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",40286708763ca6e201763dc5402916f0,3014
AC10241,776SK,26305,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 16:38,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-007026,AC10241K.SMH,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 000000
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",40286708763ca6e201763dc5402916f1,3014
AC10241,776SK,26305,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 16:38,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-007306,AC10241K.SMH,,"350A ACSC 1 100000
350B ACSC 1 100001",40286708763ca6e201763dc5402916f2,3014
AC10143,656CA,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 16:38,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC101434.CFM,,"252 AIRCRAFT DISCR L 088001
252 AIRCRAFT DISCR R 088002",4028670876189a4701761a0f63f12264,
AC15466,837SK,,27,60,27-60,SPOILERS,SSCU 1,11/30/2020 16:38,NO LA-SSCM OUTPUT TO DCU,FAILED/WIRING,,Fault,,B1-008001,AC15466T.CFM,"350A SSCU 1 000000
350B SSCU 1 000001
351A SSCU 1 000000
351B SSCU 1 000001
352A SSCU 1 000000
352B SSCU 1 000001
353A SSCU 1 000000
353B SSCU 1 000001
354A SSCU 1 000000
354B SSCU 1 000001","347 DCU 1 000101
347 DCU 2 000102
347 DCU 3 ------",4028670876189a4701761a0f79c1227a,
AC10157,744EV,30333,21,31,21-31,Cabin Pressure Control System,SAFETY VLV2,11/30/2020 16:38,OPEN POSITION SIGNAL,FAILED/WIRING,AIR,Service,1,B1-006172,AC10157V.SMH,,350 CPC 2 100002,402867087670268601767055f4f401e7,3061
AC10189,724SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 16:38,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC101899.CFM,,,4028670876189a4701761a0f68cc2269,
AC10241,776SK,26305,34,42,34-42,Ground Proximity Warning System (GPWS),EGPWS,11/30/2020 16:38,NO EGPWS-1&2 BUS OUTPUT,OFF/NO OUTPUT,AIR,Fault,0,B1-006515,AC10241L.FMH,"350 EGPWS ------
351 EGPWS ------
355 EGPWS ------","350 EGPWS ------
350 EGPWS ------
350 EGPWS ------
350 EGPWS ------",40286708763ca6e201763dc54eaf179b,3014
AC10241,776SK,26305,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 16:38,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-006902,AC10241K.SMH,,"350A ACSC 2 100002
350B ACSC 2 100003",40286708763ca6e201763dc5402916f3,3014
AC10143,656CA,,34,42,34-42,Ground Proximity Warning System (GPWS),EGPWS,11/30/2020 16:38,NO EGPWS-1&2 BUS OUTPUT,OFF/NO OUTPUT,,Fault,,B1-006515,AC101434.CFM,"350 EGPWS 000000
351 EGPWS 000000
355 EGPWS 180000","350 EGPWS 000000
350 EGPWS 000000
350 EGPWS 000000
350 EGPWS 000000",4028670876189a4701761a0f63f12265,
AC15466,837SK,,27,60,27-60,SPOILERS,SSCU 2,11/30/2020 16:38,NO RA-SSCM OUTPUT TO DCU,FAILED/WIRING,,Fault,,B1-008043,AC15466T.CFM,"350A SSCU 2 000002
350B SSCU 2 000003
351A SSCU 2 000002
351B SSCU 2 000003
352A SSCU 2 000002
352B SSCU 2 000003
353A SSCU 2 000002
353B SSCU 2 000003
354A SSCU 2 000002
354B SSCU 2 000003","347 DCU 1 000101
347 DCU 2 000102
347 DCU 3 ------",4028670876189a4701761a0f79d0227b,
AC10151,740EV,17081,31,30,31-30,CREW FORCE MEAS SYS,CTRL FORCE SNSR,11/30/2020 16:37,NO BUS OUTPUT TO DCU,OFF/NO OUTPUT,AIR,Service,0,B1-344932,AC10151S.SMH,350 CTRL FORCE SNSR ------,"352 DCU 1 000901
352 DCU 2 000902",4028670876280d6801762d1e21254f10,3289
AC10151,740EV,17081,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 16:37,LOW FAN SPEED,FAILED/WIRING,AIR,Service,0,B1-007306,AC10151S.SMH,,"350A ACSC 1 100000
350B ACSC 1 100001",4028670876280d6801762d1e21254f11,3289
AC10229,764SK,26458,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 16:37,INTERNAL FAULT,FAILED/WIRING,TAXI,Fault,0,B1-005812,AC10229P.FMH,"270A ACSC 1 000020
270B ACSC 1 000021
271A ACSC 1 0000A0
271B ACSC 1 0000A1
350A ACSC 1 100000
350B ACSC 1 100001
351A ACSC 1 0E0000
351B ACSC 1 000001
352A ACSC 1 000000
352B ACSC 1 000001","351A ACSC 1 0E0000
351B ACSC 1 000001",40286708761dc0a501761e1de6260151,2959
AC10248,603SK,,21,61,21-61,TEMPERATURE CONTROL,ACSC 1,11/30/2020 16:36,INTERNAL FAULT,FAILED/WIRING,,Fault,,B1-005812,AC10248U.CFM,,,4028670876189a4701761a0f6db6226d,
AC10248,603SK,,24,30,24-30,DC GENERATION,TRU2,11/30/2020 16:36,FAN/OVERHEAT SW,FAILED,,Fault,,B1-008229,AC10248U.CFM,,,4028670876189a4701761a0f6db6226e,
AC10249,604SK,,23,11,23-Nov,VHF Communication System,VHF 3,11/30/2020 16:36,NO OUTPUT/NO BUS TO IOC,OFF/NO OUTPUT,,Fault,,B1-008278,AC10249J.CFM,,,4028670876189a4701761a0f6ffa2271,
AC15456,833SK,,21,61,21-61,TEMPERATURE CONTROL,GALLEY FAN,11/30/2020 16:36,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-006902,AC15456R.CSM,,"350A ACSC 2 100002
350B ACSC 2 100003",4028670876189a4701761a0f74682276,
AC10248,603SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 16:36,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC10248U.CFM,,,4028670876189a4701761a0f6dc5226f,
AC10249,604SK,,30,0,30-00,ICE & RAIN PROTECTION,AILC,11/30/2020 16:36,NO AILC BUS TO DCU,OFF/NO OUTPUT,,Fault,,B1-005944,AC10249J.CFM,,,4028670876189a4701761a0f70092272,
AC15456,833SK,,21,61,21-61,TEMPERATURE CONTROL,LAVATORY FAN,11/30/2020 16:36,LOW FAN SPEED,FAILED/WIRING,,Service,,B1-007306,AC15456R.CSM,,"350A ACSC 1 100000
350B ACSC 1 100001",4028670876189a4701761a0f74782277,
AC15105,816SK,26362,49,0,49-00,APU,START MOTOR,11/30/2020 16:35,SHORT/LO PWR INPUT,LRU OK/INFO,TAXI,Fault,1,B1-006022,AC15105E.FMH,,351 APU ECU 000081,4028670876280d6801762887737e0303,3508
AC10284,784SK,18667,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,11/30/2020 16:35,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-006987,AC10284W.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",4028670876a8ccb00176a9231330127d,5317
AC15105,816SK,26362,49,0,49-00,APU,APU ECU,11/30/2020 16:35,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC15105E.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000041
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 008781
273 AIRCRAFT DISCR R 008782
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",4028670876280d6801762887737e0304,3508
AC15105,816SK,26362,49,0,49-00,APU,START MOTOR,11/30/2020 16:35,OPEN PWR/SENSE WIRE,FAILED/WIRING,TAXI,Service,3,B1-006021,AC15105F.SMH,,351 APU ECU 000041,4028670876280d68017628878d1603d5,3508
AC10196,740SK,27684,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 16:34,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,1,B1-007061,AC101966.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",402867087637807c017637e7757e03be,3038
AC10196,740SK,27684,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 16:34,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,1,B1-007026,AC101966.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",402867087637807c017637e7757e03bf,3038
AC15099,813SK,,33,42,33-42,NAVIGATION LIGHTS,REAR PRIM NAV LT,11/30/2020 16:34,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007553,AC150998.CFM,,"252 AIRCRAFT DISCR L 088001
252 AIRCRAFT DISCR R 088002",4028670876189a4701761a0f72272274,
AC10209,752SK,27402,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 16:33,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-007026,AC10209M.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 627E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 000000","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",40286708763ca6e201763e714ca02e4a,3006
AC15105,816SK,,34,13,34-13,Air Data System,ARP 1,11/30/2020 16:33,NO L-ARP-1 BUS OUTPUT,FAILED/WIRING,,Fault,,B1-006053,AC15105C.CFM,,,4028670876189a4701761a03d02d21cd,
AC15105,816SK,26362,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 16:33,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007061,AC15105F.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",4028670876280d68017628878d1603d6,3508
AC10209,752SK,27402,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,11/30/2020 16:33,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-007061,AC10209M.SMH,"350 IAPS IOC 2B 000200
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 627E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 000000","350 IAPS IOC 2B 000200
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",40286708763ca6e201763e714ca02e4b,3006
AC15105,816SK,,34,13,34-13,Air Data System,ARP 2,11/30/2020 16:33,NO R-ARP-1 BUS OUTPUT,FAILED/WIRING,,Fault,,B1-006054,AC15105C.CFM,,,4028670876189a4701761a03d03521ce,
AC15105,816SK,26362,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,11/30/2020 16:33,INPUT BUS ERROR,LRU OK/INFO,TAXI,Service,0,B1-007026,AC15105F.SMH,"350 IAPS IOC 2A 000202
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 000202
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 080000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",4028670876280d68017628878d1603d7,3508
AC10213,761ND,,31,41,31-41,Engine Indication and Crew Alerting System (EICAS),LDU,11/30/2020 16:32,NO R-DCU-6 BUS INPUT,FAILED/WIRING,,Fault,,B1-007210,AC10213F.CFM,,,4028670876189a4701761a03be9121bb,
AC10213,761ND,,33,42,33-42,NAVIGATION LIGHTS,R SEC NAV LT,11/30/2020 16:32,BULB FAILED/OPEN CIRCUIT,FAILED/WIRING,,Fault,,B1-007838,AC10213F.CFM,,,4028670876189a4701761a03bea021bc,
AC10213,761ND,,34,13,34-13,Air Data System,ARP 1,11/30/2020 16:32,NO L-ARP-1 BUS OUTPUT,FAILED/WIRING,,Fault,,B1-006053,AC10213F.CFM,,,4028670876189a4701761a03bea021bd,
AC10213,761ND,,34,13,34-13,Air Data System,ARP 2,11/30/2020 16:32,NO R-ARP-1 BUS OUTPUT,FAILED/WIRING,,Fault,,B1-006054,AC10213F.CFM,,,4028670876189a4701761a03beb021be,
AC10285,785SK,27102,21,31,21-31,Cabin Pressure Control System,SAFETY VLV1,11/30/2020 16:32,OPEN POSITION SIGNAL,FAILED/WIRING,AIR,Service,0,B1-006171,AC10285Y.SMH,,350 CPC 1 100001,40286708762d33df01762e18ca0613a0,5320
AC15067,804SK,,23,11,23-Nov,VHF Communication System,VHF 3,11/30/2020 16:32,NO OUTPUT/NO BUS TO IOC,OFF/NO OUTPUT,,Fault,,B1-008278,AC15067T.CFM,,,4028670876189a4701761a03cace21c8,
